dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,brotli -q11,12259,4.7198,1.28,22.3
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,bzip2 -9,12136,4.7676,14.5,25.23
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,feather+lz4,36906,1.5678,44.03,84.59
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,feather+zstd,21770,2.6578,490.27,635.29
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,gzip -9,14718,3.9312,9.04,30.94
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,lz4 -9,19386,2.9846,13.59,27.11
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,orc+snappy,20986,2.7571,23.21,79.57
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,orc+zlib,14668,3.9446,96.11,321.86
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,orc+zstd,14712,3.9328,161.68,556.61
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,parquet+brotli,18193,3.1803,1.9,56.6
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,parquet+gzip,19115,3.0269,26.65,190.34
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,parquet+snappy,27271,2.1217,79.26,2.26
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,parquet+zstd,17950,3.2234,12.52,274.22
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,polypress,9680,5.9773,2.85,81.03
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,polypress+brotli,9157,6.3187,,
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,polypress+zstd,9997,5.7877,,
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,xz -9e,12460,4.6437,2.98,18.61
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,zstd -19,13700,4.2234,4.13,24.11
