dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,brotli -q11,9853,5.268,1.29,20.97
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,bzip2 -9,10420,4.9814,12.87,21.31
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,feather+lz4,29698,1.7478,270.45,341.24
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,feather+zstd,21530,2.4109,163.2,301.54
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,gzip -9,12170,4.2651,18.26,27.64
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,lz4 -9,15082,3.4416,21.65,27.2
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,orc+snappy,23718,2.1885,61.87,134.8
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,orc+zlib,17537,2.9598,35.43,190.81
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,orc+zstd,17936,2.894,54.24,263.25
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,parquet+brotli,18976,2.7353,1.48,100.23
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,parquet+gzip,21454,2.4194,42.69,95.95
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,parquet+snappy,26653,1.9475,81.63,2.0
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,parquet+zstd,20659,2.5125,11.02,126.94
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,polypress,10340,5.0199,1.52,80.19
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,polypress+brotli,9524,5.45,,
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,polypress+zstd,10883,4.7695,,
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,polypress-turbo,10369,5.0059,1.55,80.34
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,xz -9e,10804,4.8043,4.89,19.08
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,zstd -19,11457,4.5305,2.94,20.5
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,zstd -22,11457,4.5305,0.99,17.1
data_missouri_river_water_trail_access_points_a8ys-t8hd.csv,51906,91,23,zstd -3,12971,4.0017,19.04,22.84
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,brotli -q11,12259,4.7198,1.47,25.73
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,bzip2 -9,12136,4.7676,14.95,23.34
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,feather+lz4,36906,1.5678,451.92,630.34
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,feather+zstd,21770,2.6578,346.69,481.51
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,gzip -9,14718,3.9312,11.1,33.82
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,lz4 -9,19386,2.9846,21.26,29.57
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,orc+snappy,20986,2.7571,150.27,222.44
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,orc+zlib,14668,3.9446,96.57,310.73
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,orc+zstd,14712,3.9328,157.28,550.3
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,parquet+brotli,18193,3.1803,1.88,101.12
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,parquet+gzip,19115,3.0269,38.66,151.87
