region,age,income,joined,member
East,37,20000,2024-02-27,TRUE
East,25,41000,2024-01-03,FALSE
West,26,84500,2024-07-02,TRUE
South,25,64500,2024-01-08,TRUE
South,55,83000,2024-02-19,FALSE
South,31,95500,2024-04-12,TRUE
North,25,77500,2024-11-18,FALSE
East,77,72000,2024-06-10,TRUE
South,49,52000,2024-09-16,FALSE
West,54,23000,2024-02-17,FALSE
South,61,76500,2024-07-02,TRUE
East,61,90000,2024-08-19,FALSE
North,29,74500,2024-12-22,TRUE
North,57,71000,2024-05-23,FALSE
East,20,59000,2024-03-20,TRUE
West,25,50500,2024-03-24,TRUE
West,68,77500,2024-02-06,FALSE
West,88,31500,2024-07-28,FALSE
West,63,62500,2024-04-05,TRUE
South,37,43500,2024-01-16,TRUE
East,54,,2024-07-18,FALSE
East,34,79500,2024-10-21,TRUE
West,68,64000,2024-02-16,FALSE
North,42,,2024-04-15,TRUE
North,61,27000,2024-01-19,TRUE
North,64,23000,2024-04-20,FALSE
South,50,91000,2024-06-16,TRUE
North,80,73500,2024-08-16,FALSE
North,36,57500,2024-12-09,FALSE
South,84,,2024-09-12,TRUE
North,85,25500,2024-12-28,FALSE
East,39,42500,2024-09-18,FALSE
South,42,65000,2024-12-26,TRUE
South,84,17500,2024-01-26,FALSE
West,51,91000,2024-06-15,FALSE
East,28,43000,2024-08-07,FALSE
South,79,92000,2024-01-16,FALSE
North,33,39500,2024-08-06,FALSE
East,29,64500,2024-08-13,TRUE
South,39,17500,2024-03-19,FALSE
South,78,58500,2024-03-18,TRUE
North,19,27000,2024-09-24,TRUE
West,42,41000,2024-01-09,TRUE
East,82,89000,2024-06-09,FALSE
South,25,59000,2024-08-22,FALSE
South,86,79000,2024-01-28,FALSE
South,18,33000,2024-03-05,FALSE
North,25,80000,2024-09-18,FALSE
North,25,49000,2024-01-25,TRUE
West,21,22000,2024-08-11,TRUE
East,75,75000,2024-09-08,FALSE
South,75,29500,2024-07-15,FALSE
North,48,41000,2024-11-10,TRUE
South,64,31500,2024-08-08,TRUE
West,80,42500,2024-03-23,FALSE
West,61,59500,2024-06-03,FALSE
North,61,70000,2024-12-01,FALSE
East,84,79500,2024-02-04,TRUE
North,28,19000,2024-03-09,TRUE
West,51,82500,2024-09-19,FALSE
East,29,37000,2024-07-03,FALSE
North,29,24500,2024-10-28,TRUE
North,51,72000,2024-01-11,FALSE
East,34,,2024-12-08,TRUE
South,51,,2024-04-10,FALSE
South,55,36500,2024-05-12,TRUE
East,22,,2024-12-17,TRUE
West,49,27500,2024-11-27,FALSE
West,87,64000,2024-09-10,TRUE
South,61,95000,2024-03-13,FALSE
North,34,,2024-11-24,FALSE
West,38,,2024-11-27,FALSE
East,49,19500,2024-08-06,TRUE
East,75,,2024-06-11,FALSE
South,22,53500,2024-04-12,TRUE
North,60,74500,2024-05-17,TRUE
South,82,25500,2024-05-27,TRUE
South,69,64000,2024-01-10,FALSE
South,28,81500,2024-03-22,FALSE
East,81,93000,2024-11-05,TRUE
West,82,81000,2024-09-19,TRUE
South,28,,2024-03-21,FALSE
North,66,85000,2024-01-21,TRUE
South,80,72000,2024-02-24,TRUE
North,78,23500,2024-05-08,TRUE
South,76,62500,2024-02-16,FALSE
North,43,,2024-03-11,FALSE
East,35,,2024-01-16,FALSE
North,45,51000,2024-12-17,FALSE
West,77,29000,2024-09-07,FALSE
North,78,,2024-08-03,FALSE
East,67,40500,2024-02-19,TRUE
South,85,60000,2024-03-20,FALSE
North,64,76000,2024-07-01,TRUE
North,80,65500,2024-05-24,TRUE
West,62,29000,2024-06-01,FALSE
East,68,39000,2024-12-01,FALSE
East,65,,2024-07-28,TRUE
East,72,20000,2024-05-04,TRUE
East,37,48000,2024-07-17,FALSE
South,65,68500,2024-01-26,FALSE
South,28,,2024-12-14,FALSE
South,54,84000,2024-03-06,FALSE
West,61,46500,2024-12-24,FALSE
West,48,85000,2024-11-13,TRUE
South,38,,2024-09-26,FALSE
South,75,71500,2024-07-05,TRUE
South,29,85000,2024-02-11,TRUE
East,51,39500,2024-01-24,FALSE
West,70,40500,2024-07-09,FALSE
North,81,60000,2024-03-22,TRUE
North,52,63000,2024-07-21,FALSE
West,57,16500,2024-03-02,FALSE
West,80,,2024-07-27,FALSE
West,49,42500,2024-03-05,TRUE
West,28,19000,2024-01-26,TRUE
South,22,52500,2024-03-21,FALSE
West,32,52000,2024-09-19,TRUE
West,51,90500,2024-01-01,FALSE
West,53,45000,2024-08-17,TRUE
South,21,53000,2024-01-01,TRUE
West,71,43000,2024-11-14,FALSE
South,81,,2024-06-23,FALSE
East,68,51000,2024-12-28,TRUE
South,81,53500,2024-04-08,FALSE
South,51,51500,2024-02-20,FALSE
South,46,21000,2024-10-05,FALSE
North,45,,2024-10-05,FALSE
North,25,71500,2024-12-11,TRUE
North,39,37500,2024-11-17,FALSE
North,57,62000,2024-06-11,FALSE
South,31,,2024-05-03,FALSE
West,33,40500,2024-07-12,FALSE
West,29,,2024-08-07,FALSE
West,42,74500,2024-01-21,FALSE
South,69,,2024-01-15,TRUE
North,50,22000,2024-10-11,FALSE
East,60,92500,2024-01-09,FALSE
East,56,,2024-10-26,TRUE
North,47,73500,2024-07-26,FALSE
West,81,77500,2024-03-01,FALSE
South,48,54500,2024-08-12,TRUE
South,68,45500,2024-07-03,TRUE
West,88,34500,2024-07-04,TRUE
East,28,67500,2024-08-23,FALSE
South,47,72500,2024-10-22,TRUE
North,55,86500,2024-05-12,FALSE
East,43,37500,2024-04-08,TRUE
East,42,64500,2024-05-08,TRUE
North,77,27000,2024-01-16,TRUE
West,65,,2024-05-08,TRUE
North,42,88500,2024-04-03,FALSE
South,75,14500,2024-02-21,FALSE
South,22,32000,2024-01-07,FALSE
North,44,55500,2024-07-22,FALSE
South,57,,2024-01-26,FALSE
West,26,64500,2024-11-18,TRUE
North,38,48500,2024-07-10,FALSE
West,24,86500,2024-06-14,FALSE
North,64,64000,2024-12-13,TRUE
North,73,68000,2024-02-27,TRUE
West,64,34500,2024-03-01,TRUE
South,68,93500,2024-06-24,TRUE
South,62,80500,2024-03-03,TRUE
West,80,39000,2024-05-05,TRUE
West,58,,2024-11-13,TRUE
South,46,92500,2024-04-27,FALSE
South,45,,2024-09-06,FALSE
East,33,38500,2024-01-18,TRUE
East,33,72000,2024-09-28,FALSE
West,57,68000,2024-07-22,FALSE
West,82,16500,2024-01-20,FALSE
West,48,93000,2024-08-27,TRUE
West,69,30000,2024-06-14,FALSE
North,74,19000,2024-01-21,TRUE
North,58,79000,2024-02-02,FALSE
South,21,92500,2024-12-23,TRUE
South,34,76500,2024-05-26,TRUE
South,26,92000,2024-05-06,FALSE
East,76,78000,2024-08-07,FALSE
South,58,39000,2024-03-13,TRUE
East,59,35500,2024-05-04,TRUE
East,75,88000,2024-12-04,FALSE
West,65,61000,2024-10-05,FALSE
East,28,36500,2024-10-24,TRUE
East,84,95500,2024-10-22,FALSE
North,22,51000,2024-10-21,FALSE
West,83,20000,2024-03-16,TRUE
North,20,,2024-10-12,FALSE
North,84,42500,2024-07-19,FALSE
South,44,74500,2024-03-05,TRUE
South,37,22000,2024-11-05,FALSE
West,51,21000,2024-11-27,FALSE
West,84,45500,2024-03-01,TRUE
North,86,,2024-03-08,TRUE
North,31,,2024-09-22,TRUE
South,70,91500,2024-11-17,FALSE
South,83,52000,2024-11-02,FALSE
North,66,73500,2024-02-24,FALSE
South,46,47000,2024-04-21,TRUE
North,60,47500,2024-12-02,FALSE
West,84,51500,2024-11-07,TRUE
North,39,44000,2024-12-07,TRUE
East,42,56000,2024-10-08,FALSE
West,78,14500,2024-01-14,TRUE
East,45,88500,2024-02-19,TRUE
South,22,,2024-02-20,TRUE
East,36,17500,2024-01-05,TRUE
North,23,,2024-10-25,FALSE
South,86,22000,2024-12-13,TRUE
South,44,18000,2024-01-28,TRUE
East,79,26500,2024-11-07,FALSE
East,61,16500,2024-06-09,FALSE
North,65,91000,2024-09-16,FALSE
North,70,,2024-09-25,TRUE
East,78,82500,2024-10-07,TRUE
East,39,81000,2024-04-10,TRUE
North,62,76500,2024-12-26,TRUE
West,62,79500,2024-05-19,TRUE
East,45,43500,2024-08-06,TRUE
North,80,85500,2024-02-21,FALSE
East,30,64500,2024-12-03,FALSE
North,65,47500,2024-07-18,TRUE
West,47,30000,2024-09-20,TRUE
East,59,71500,2024-11-18,FALSE
South,77,46500,2024-10-08,TRUE
East,77,44000,2024-09-07,FALSE
East,37,45500,2024-12-11,FALSE
South,48,38000,2024-05-24,TRUE
South,31,33000,2024-03-26,FALSE
East,73,27500,2024-11-04,FALSE
South,67,15500,2024-07-28,FALSE
South,82,51500,2024-08-01,TRUE
East,69,,2024-04-28,FALSE
West,47,88500,2024-04-22,TRUE
North,76,47000,2024-11-23,TRUE
West,49,94500,2024-03-09,FALSE
West,76,,2024-07-17,TRUE
East,19,76500,2024-02-02,FALSE
South,38,39500,2024-09-12,TRUE
