dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,brotli -q11,12259,4.7198,1.45,23.27
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,bzip2 -9,12136,4.7676,14.55,25.22
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,feather+lz4,36906,1.5678,499.35,579.19
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,feather+zstd,21770,2.6578,359.0,572.36
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,gzip -9,14718,3.9312,10.64,30.23
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,lz4 -9,19386,2.9846,21.13,30.4
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,orc+snappy,20986,2.7571,162.11,248.4
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,orc+zlib,14668,3.9446,98.41,327.07
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,orc+zstd,14712,3.9328,159.76,563.07
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,parquet+brotli,18193,3.1803,1.96,133.27
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,parquet+gzip,19115,3.0269,41.61,151.87
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,parquet+snappy,27271,2.1217,119.02,2.17
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,parquet+zstd,17950,3.2234,12.06,186.68
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,polypress,9680,5.9773,2.84,83.63
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,polypress+brotli,9157,6.3187,,
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,polypress+zstd,9997,5.7877,,
data_missouri_zip_codes_by_county_city_im7g-fucq.csv,57860,1909,3,xz -9e,12460,4.6437,6.08,20.17
